,count,mean,std,min,25%,50%,75%,max
is_canceled,87396.0,0.27489816467572886,0.44646550204710295,0.0,0.0,0.0,1.0,1.0
lead_time,87396.0,79.89136802599661,86.05232533962153,0.0,11.0,49.0,125.0,737.0
arrival_date_year,87396.0,2016.2102956657054,0.6861020602454406,2015.0,2016.0,2016.0,2017.0,2017.0
arrival_date_week_number,87396.0,26.838333562176757,13.674571678018442,1.0,16.0,27.0,37.0,53.0
arrival_date_day_of_month,87396.0,15.815540757014052,8.835146445793658,1.0,8.0,16.0,23.0,31.0
stays_in_weekend_nights,87396.0,1.005263398782553,1.0319213109741292,0.0,0.0,1.0,2.0,19.0
stays_in_week_nights,87396.0,2.6253947549086916,2.0535839211560565,0.0,1.0,2.0,4.0,50.0
adults,87396.0,1.8757952309030161,0.6265002108807924,0.0,2.0,2.0,2.0,55.0
children,87392.0,0.13863969242035884,0.45588087002397837,0.0,0.0,0.0,0.0,10.0
babies,87396.0,0.010824294018032862,0.11359653697167238,0.0,0.0,0.0,0.0,10.0
is_repeated_guest,87396.0,0.03907501487482264,0.19377457966597833,0.0,0.0,0.0,0.0,1.0
previous_cancellations,87396.0,0.03041329122614307,0.3691452619302131,0.0,0.0,0.0,0.0,26.0
previous_bookings_not_canceled,87396.0,0.18399011396402581,1.7318937012106528,0.0,0.0,0.0,0.0,72.0
booking_changes,87396.0,0.27160281935100006,0.7272452671225519,0.0,0.0,0.0,0.0,21.0
agent,75203.0,94.13830565270003,113.18817163872,1.0,9.0,14.0,240.0,535.0
company,5259.0,183.08138429359192,130.55760768708856,6.0,47.0,169.0,263.0,543.0
days_in_waiting_list,87396.0,0.7495651974918761,10.015730937982836,0.0,0.0,0.0,0.0,391.0
adr,87396.0,106.33724644148474,55.013953291892406,-6.38,72.0,98.1,134.0,5400.0
required_car_parking_spaces,87396.0,0.08422582269211405,0.2815332738012707,0.0,0.0,0.0,0.0,8.0
total_of_special_requests,87396.0,0.6985674401574443,0.8319459785015434,0.0,0.0,0.0,1.0,5.0
