threshold,precision,recall,f1,predicted_positive,predicted_negative
0.1,0.46903205726735137,0.940894901144641,0.6260038770423705,9639,7841
0.15,0.47823779193205945,0.9375650364203955,0.6333919156414762,9420,8060
0.2,0.48958677685950414,0.9246618106139438,0.6402017291066282,9075,8405
0.25,0.5059379684077021,0.9132154006243496,0.6511351832616115,8673,8807
0.3,0.5142011834319526,0.9042663891779397,0.6556016597510373,8450,9030
0.35,0.532185628742515,0.8878251821019771,0.6654707121129397,8016,9464
0.4,0.553633681952266,0.8593132154006243,0.6734078121177526,7458,10022
0.45,0.5665457589285714,0.8451612903225807,0.6783596425290236,7168,10312
0.5,0.5845132743362832,0.8247658688865764,0.684160552438498,6780,10700
0.55,0.6023776005005474,0.8014568158168575,0.6878013931059118,6393,11087
0.6,0.6286201022146508,0.7679500520291364,0.6913348946135831,5870,11610
0.65,0.6409794742527908,0.740894901144641,0.6873250313736847,5554,11926
0.7,0.6651654591736832,0.7069719042663892,0.6854317998385795,5107,12373
0.75,0.7057449789817842,0.6289281997918834,0.6651260041817981,4282,13198
0.8,0.7378297525156378,0.5646201873048907,0.6397076161282716,3677,13803
0.85,0.7748478701825557,0.477003121748179,0.5904933659667654,2958,14522
0.9,0.8129088530309638,0.3879292403746098,0.5252183713722175,2293,15187
0.95,0.8586738111185532,0.2668054110301769,0.40711336932359476,1493,15987
